SetEntrenamiento,SetTesting,Resultados,Método,Vecinos,Numero de iteraciones,Alfa,Epsilon,Tiempo
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1701-vecinos-resultados.csv,0,1701,0,0,0,39550.4
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1751-vecinos-resultados.csv,0,1751,0,0,0,40358.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1801-vecinos-resultados.csv,0,1801,0,0,0,41114.3
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1851-vecinos-resultados.csv,0,1851,0,0,0,41834.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1901-vecinos-resultados.csv,0,1901,0,0,0,42573.1
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1951-vecinos-resultados.csv,0,1951,0,0,0,44164.3
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-2001-vecinos-resultados.csv,0,2001,0,0,0,44158.2
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-1-vecinos-resultados.csv,0,1,0,0,0,15439.4
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-51-vecinos-resultados.csv,0,51,0,0,0,16243.7
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-101-vecinos-resultados.csv,0,101,0,0,0,16941.7
./Data/5_fold-SET-2-train.csv,./Data/5_fold-SET-2-validate.csv,./resultados/5_fold-SET-2-151-vecinos-resultados.csv,0,151,0,0,0,17674.5
